match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_kills_per_min,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_kills_per_min,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min,player_win_ratio,opponent_win_ratio
6881665501,369832487,0,0,0,1102.65,792.15,0.15477077475471587,0,0,389127002,0,0,0,598.65,456.65,0.21709335128848467,0,0,389127002,26.97694049529907,74.29153760455652,624.2441209654156,599.862788958256,1.3323121373552935,3.8010204518341384,0.5136554621848739,0.5390208434318953
6881665505,429740640,0.3056967591846793,0.5324193438705979,0,800.8,565.2,0.22917272875450695,0,0,155691351,0.19102040689655192,0.4066804882200583,0,763.8,492.9,0.3028174691743759,0,0,429740640,94.6878922984969,70.63518359571123,528.3140533026645,683.9826943259015,1.8841726140227562,4.128503944443521,0.5442278860569715,0.4656084656084656
6881666402,180752114,0,0,0,0,0,0,0,0,301036066,0,0,0,0,0,0.2319296429124324,0,0,301036066,0,0,546.9857656232175,610.8618662034646,3.661527898998912,4.480334219568042,0.5272962483829237,0.5089058524173028
6881666410,112394652,0.20917270610428104,0.34959694006982994,0,744.95,520.65,0.2570507653154442,0,0,298115685,0.17776752493614964,0.3129110303824206,0,868.8421052631579,568.3684210526316,0.21147069865250093,0,0,112394652,83.35933406856107,111.11989251478596,758.5786018407174,643.0462526092224,4.531495092551258,4.07920767905654,0.48938992042440316,0.5123456790123457
6881666915,103589630,0.1772246461828227,0.2741631298398239,0,686.0,491.1,0.23678906009519746,0,0,482461956,0.21581109499390783,0.5979270771308638,0,966.1,710.45,0.2949597007491153,0,0,482461956,108.97633243846656,97.40827612980512,603.2776474492052,824.50895830443,4.978170979659307,3.944260904713476,0.5005484460694698,0.5018285249898415
6881667714,1206900142,0,0,0,0,0,0,0,0,117224438,0,0,0,0,0,0,0,0,117224438,0,0,1032.3732416595594,773.5749465779984,0.8775760028688824,5.0855689515379385,0.493705035971223,0.49924471299093653
6881668105,234749183,0.2500947416529401,0.3935407719476868,0,1255.95,784.7,0.22917832718711204,0,0,171226099,0.15673751237413894,0.39642931581231194,0,770.05,570.8,0.2906169928825312,0,0,234749183,77.58565212222537,158.88303071476435,817.3653095817615,884.6791571049441,4.353077025359561,5.466982726716859,0.5222929936305732,0.48310291858678955
6881669209,160209753,0,0,0,0,0,0,0,0,1432029088,0,0,0,0,0,0,0,0,160209753,0,0,0,696.0802819780387,2.052923007637054,4.9212383698028885,0.516744289199379,0.5
6881669700,151335810,0,0,0,452.5,316.2,0.11069619238584263,0,0,268067576,0,0,0,624.3333333333334,480.3333333333333,0.22239389765451434,0,0,268067576,8.826039735623823,126.65377713964233,408.75275266791806,669.084699662356,2.2872279962782667,5.167580174824396,0.49487354750512647,0.4785801713586291
6881669802,193694001,0.13210370927913356,0.3316272941119244,0,755.15,579.4,0.3176974372097795,0,0,195908568,0.20041100152526434,0.4221107701477605,0,522.6,362.2,0.15308628479040629,0,0,193694001,159.3948322935504,31.005624417645453,770.5188194842502,538.6526509210428,6.318570321548976,2.104355624681396,0.5114810562571757,0.5123855681206246
