match_id,hero_id,account_id,net_worth,kills,deaths,hero_damage,gold_per_min,assists,xp_per_min,last_hits,tower_damage,obs_placed,roshans_killed,isRadiant,win
6880947513,61,,16343,13,1,15703,716,8,858,161,20350,,,True,1
6880947513,56,,13286,10,4,19700,573,10,657,110,5266,,,True,1
6880947513,85,19561420.0,4986,2,6,6474,309,19,443,10,714,,,True,1
6880947513,60,120820066.0,5572,2,10,8763,258,7,320,45,271,,,False,0
6880947513,11,,8624,6,8,18782,460,4,493,233,1821,,,False,0
6880947513,101,,4468,3,5,13056,205,5,271,35,0,,,False,0
6880947513,83,1407332631.0,3562,2,7,11789,206,6,344,25,0,,,False,0
6880947513,32,1223146380.0,6912,5,5,10213,304,8,339,57,0,,,False,0
6880944710,42,488860225.0,7553,5,4,4164,453,5,363,71,7781,,,True,1
6880944710,20,,7415,1,2,1799,449,9,450,108,830,,,True,1
6880944710,7,,6982,4,3,4066,407,2,335,62,5926,,,True,1
6880944710,67,308727500.0,6625,7,2,7056,385,2,472,42,1732,,,True,1
6880944710,44,,4238,1,2,1705,235,3,136,23,0,,,True,1
6880944710,15,402619162.0,6524,8,4,10124,428,0,549,31,216,,,False,0
6880944710,91,187618677.0,5310,1,3,1849,298,2,400,49,561,,,False,0
6880944710,13,465936369.0,3794,0,2,145,199,0,168,29,0,,,False,0
6880944710,25,,2062,1,9,2084,176,0,251,10,116,,,False,0
6880944710,65,846766345.0,3776,0,3,1179,198,1,284,35,0,,,False,0
6880944500,35,,12574,7,2,19428,589,13,668,128,5971,,,True,1
6880944500,101,,5349,5,2,9298,309,7,382,15,324,,,True,1
6880944500,10,71826153.0,11197,3,1,8039,523,4,574,164,4623,,,True,1
6880944500,77,184421597.0,12414,12,1,11958,579,9,598,121,13726,,,True,1
6880944500,50,,6009,1,3,5755,296,14,378,23,929,,,True,1
6880944500,126,937693084.0,5873,0,7,6379,278,2,355,77,67,,,False,0
6880944500,12,,9789,1,1,3258,447,0,491,168,340,,,False,0
6880944500,31,,2773,0,5,8285,158,1,233,23,0,,,False,0
6880944500,20,1300297406.0,6242,4,9,7771,340,2,389,75,0,,,False,0
6880944500,14,1402928316.0,4483,2,7,5090,228,4,251,41,0,,,False,0
6880943106,25,,6792,6,2,8273,335,9,365,40,4921,,,True,1
6880943106,112,405079318.0,6200,5,2,8933,312,20,452,21,421,,,True,1
6880943106,28,129557668.0,13201,16,0,23386,633,14,835,133,75,,,True,1
6880943106,8,365449874.0,10452,3,1,8075,498,16,503,132,7044,,,True,1
6880943106,100,449229440.0,10252,16,0,18774,485,12,581,57,3832,,,True,1
6880943106,104,,3987,0,8,2791,207,0,259,42,0,,,False,0
6880943106,128,181370620.0,3060,1,10,6704,179,1,170,7,0,,,False,0
6880943106,114,,5425,3,10,7730,316,1,396,56,27,,,False,0
6880943106,41,,3608,0,11,2064,216,2,271,36,0,,,False,0
6880943106,137,,2104,0,8,2172,149,1,144,18,21,,,False,0
6880942906,12,867105000.0,2,3,1,6381,391,3,430,90,1280,,,True,0
6880942906,14,377596439.0,3402,4,6,7910,380,6,302,8,0,,,True,0
6880942906,50,,2602,3,8,4863,326,5,251,16,0,,,True,0
6880942906,81,912837011.0,13045,4,2,9023,696,4,396,86,0,,,True,0
6880942906,106,,152,0,6,4176,246,5,273,53,0,,,True,0
6880942906,6,443857971.0,5868,1,5,3134,304,6,311,66,344,,,False,1
6880942906,18,167846563.0,10304,4,3,7572,532,6,562,168,3758,,,False,1
6880942906,37,127117527.0,5395,3,4,6853,295,6,339,30,255,,,False,1
6880942906,126,441019087.0,6233,8,1,10006,309,8,473,19,0,,,False,1
6880942906,75,,7752,6,2,14225,424,9,652,73,18,,,False,1
6880942903,71,349754378.0,4610,1,3,7580,277,23,402,18,1064,,,True,1
6880942903,52,,8429,12,1,14779,491,16,568,65,8728,,,True,1
6880942903,98,,8181,13,2,10003,437,12,489,40,1830,,,True,1
