'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879560701,58,154459513.0,3791,0,1,993,360,2,332,0,45,1010,,
6879560701,103,172945917.0,3451,0,1,980,271,1,267,0,18,0,,
6879560701,61,236402101.0,4857,5,2,3684,412,1,288,5,44,0,,
6879560701,34,,4045,3,1,1286,334,0,282,3,20,3497,,
6879560701,119,180918302.0,4385,3,1,2164,371,1,310,3,28,0,,
6879560701,69,251985975.0,3818,0,2,833,320,2,361,0,37,0,,
6879560701,102,263725292.0,1282,1,7,926,203,1,141,1,17,0,,
6879560701,29,398792983.0,3034,1,1,399,236,1,168,1,23,0,,
6879560701,63,122839399.0,3915,0,1,658,309,1,352,0,46,552,,
6879560511,101,,6902,4,4,7802,325,1,342,4,46,1869,,
6879560511,93,191039685.0,10689,6,2,8701,514,5,549,6,125,3635,,
6879560511,43,117801120.0,12075,9,0,7410,536,2,503,9,116,9191,,
6879560511,100,,5686,1,1,5526,271,9,363,1,17,1743,,
6879560511,35,,10290,12,3,32045,521,1,669,12,100,832,,
6879560511,18,1195414590.0,102,0,7,2575,200,0,167,0,63,0,,
6879560511,33,,3007,0,11,2258,249,0,145,0,7,0,,
6879560511,64,,6953,0,12,2603,372,1,174,0,12,79,,
6879560511,129,1128207474.0,5777,8,2,10386,423,2,478,8,70,0,,
6879560511,60,,4847,2,0,4050,285,3,330,2,49,0,,
6879560018,5,191905647.0,7166,5,3,7827,300,12,329,5,33,3784,,
6879560018,41,,15132,4,0,5138,581,7,602,4,185,7791,,
6879560018,71,123288009.0,8428,1,1,6575,332,20,502,1,59,6836,,
6879560018,7,,11996,9,2,8040,499,6,437,9,112,5825,,
6879560018,34,,15762,14,0,27722,621,9,740,14,148,140,,
6879560018,126,,7530,3,4,9158,343,1,429,3,90,259,,
6879560018,110,,2,0,6,5997,174,0,161,0,34,0,,
6879560018,4,161799092.0,11767,1,3,3204,468,1,480,1,221,0,,
6879560018,47,342769776.0,6405,1,7,11268,282,3,302,1,64,50,,
6879560018,15,341162177.0,4869,1,15,6244,220,3,259,1,27,0,,
6879559402,50,210482343.0,8500,9,1,11371,389,13,454,9,36,2240,,
6879559402,32,,11249,6,2,14462,496,16,521,6,112,352,,
6879559402,91,,5605,4,4,6777,324,17,353,4,24,455,,
6879559402,97,184738550.0,8801,2,0,7173,402,11,456,2,95,712,,
6879559402,11,,13965,11,1,18226,626,11,575,11,143,20918,,
6879559402,37,91423128.0,4076,2,7,5285,200,3,242,2,28,0,,
6879559402,14,,6288,2,11,8595,335,4,352,2,92,582,,
6879559402,112,130969895.0,3955,1,8,8100,208,3,320,1,33,16,,
6879559402,104,,7464,1,5,8723,345,3,400,1,112,0,,
6879559402,76,,9627,2,3,6575,446,0,511,2,154,161,,
6879559313,31,11194057.0,3641,2,7,12797,216,3,245,2,31,0,,
6879559313,93,,9489,0,3,2243,370,1,445,0,131,453,,
6879559313,90,,6654,1,2,18238,298,5,358,1,92,231,,
6879559313,34,,8497,0,4,27609,350,5,493,0,138,0,,
6879559313,81,,7665,3,6,9022,367,3,406,3,129,812,,
6879559313,8,83781729.0,11860,6,2,9844,481,4,471,6,128,4950,,
6879559313,129,113002616.0,14343,9,0,15408,580,7,580,9,140,2690,,
6879559313,57,,6763,1,2,4053,341,9,406,1,35,0,,
6879559313,50,,7736,2,2,6483,349,16,353,2,45,1906,,
6879559313,80,95845153.0,17317,4,1,14988,687,9,647,4,174,27017,,
6879557016,107,,3137,1,12,5904,157,5,233,1,6,0,,
6879557016,26,,2970,2,9,6067,157,6,283,2,3,17,,
6879557016,46,,8663,1,3,7398,386,2,441,1,156,1512,,
6879557016,81,280013200.0,6291,3,10,6688,298,5,305,3,74,489,,
6879557016,21,,6471,6,8,11999,270,1,352,6,47,0,,
6879557016,87,,4916,2,3,11534,266,32,483,2,12,817,,
6879557016,35,109440989.0,17456,23,1,31299,693,13,664,23,169,14344,,
6879557016,74,,13352,12,2,15157,527,17,664,12,87,4771,,
6879557016,123,,5913,4,2,11985,271,22,477,4,12,281,,
6879557016,104,,8282,1,5,8042,333,14,454,1,60,557,,
6879556900,95,,15923,7,1,15286,574,8,691,7,175,10375,,
